PID,PROCESSOR,RAM,ROM,OS,BATTERY,SCREEN_SIZE,SCREEN_RESOLUTION,REAR_CAMERA,FRONT_CAMERA,USB_VERSION,FINGERPRINT_SENSOR,EXPANDABLE_STORAGE,REMOVABLE_BATTERY,WIFI,BLUETOOTH,NFC,SIM,SENSORS,HEIGHT,WIDTH,THICKNESS,WEIGHT
24,Snapdragon 210,1,8,Android v5.1.1,2000,4.5,854x480p,5,5,Micro USB v2.0,No,"Yes, Upto 32GB",Yes,"Yes, 802.11 b/g/n",Yes v4.0,No,Dual Micro Sim,"Proximity sensor, Accelerometer",132.6,66.2,9.3,138
25,Snapdragon 410,1,8,Android v5.1.1,2390,4.5,960x540,5,VGA,Micro USB v2.0,No,"Yes, Upto 32GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Micro Sim,"Accelerometer, proximity",129.9,66.6,12.3,145
26,Exynos 5433 Octa Core,3,64,Android v6.0,5870,9.7,Quad HD 2560x1440p,8,2.1,Micro USB v2.0,Yes,"Yes, Upto 256GB",No,"Yes, 802.11 a/b/g/n/ac",Yes v4.1,No,Single Nano Sim,"Fingerprint, accelerometer, gyro, compass",237.3,169,5.6,389
27,Marvel Quad Core,1.5,16,Android v4.4.2,4000,7,HD 1280x720p,3.1,1.3,Micro USB v2.0,No,"Yes, Upto 32GB",No,"Yes, 802.11 a/b/g/n",Yes v4.0,No,No,Accelerometer,186.9,107.9,9,279
28,A8 Dual Core,2,64,IOS v8.0,7430,9.7,Quad HD 2560x1440p,8,1.2,Lightning Port,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.0,No,Single Nano Sim,"Fingerprint, accelerometer, gyro, compass, barometer",240,169.5,6.1,437
29,A9 Dual Core,4,128,IOS v9.0,10307,12.9,Quad HD 2732x2048,8,1.2,Lightning Port,Yes,No,No,"Yes, 802.11 a/b/g/n/ac",Yes v4.0,Yes,Single Nano Sim,"Fingerprint, accelerometer, gyro, compass, barometer",307.5,220.6,6.9,713
30,Snapdragon 410,2,16,Android v5.0,4000,8,HD 1280x720p,5,2,Micro USB v2.0,No,"Yes, Upto 64GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Micro Sim,"Accelerometer, proximity, compass",209,123,8.5,350
31,Intel Atom Quad Core,2,16,Android v5.0,3450,7,HD 1280x720p,8,2,Micro USB v2.0,No,"Yes, Upto 256GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Micro Sim,"Accelerometer, proximity, compass",189,110.9,8.7,272
32,Mediateck Quad Core,1,16,Android v4.4.2,3450,7,HD 1280x720p,2,VGA,Micro USB v2.0,No,"Yes, Upto 32GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Mini Sim,Accelerometer,191,105,8.9,269
33,Intel Bay Trail Quad Core,2,32,Windows v8.1,3000,7.8,HD 1280x720p,2,2,Micro USB v2.0,No,No,No,"Yes, 802.11 b/g/n",Yes v4.0,No,No,Accelerometer,200,137,9,376
34,Mediateck Quad Core,1,16,Android v5.0,4000,8,HD 1280x720p,5,2,Micro USB v2.0,No,"Yes, Upto 32GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Micro Sim,Accelerometer,216,124,9,680
35,Mediateck Quad Core,1,8,Android v4.2,3000,7,HD 1280x720p,5,2,Micro USB v2.0,No,"Yes, Upto 32GB",No,"Yes, 802.11 b/g/n",Yes v4.0,No,Single Micro Sim,"Proximity sensor, Accelerometer",194,112,10,286
